,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
60,Dereotu,0.18471713232168785,2.227171492204838,0.0,7.003661467578781,3.2980858054965534,-2.031725581420174,18.29595372995636,-4.150614525880769,-5.9816717656519085,-1.7750242570430008,3.3351559452942325,39.47502124349429
61,Derin Dondurucu,0.7684988887728839,1.0505672725114712,0.3779744916936112,1.427632829996761,0.009413992163076479,0.974408375714475,1.1930188721092305,1.2687303144455653,0.48270814554649544,-0.23417241116637788,2.3298025289560265,2.9864591784020122
62,Diğer Kitaplar,3.4309633523649907,2.996508363532291,0.8614621178825832,1.1293051678863852,-0.6700546924031991,0.7228729058053274,0.9833220961033229,3.394658644942128,0.843302331744411,-0.4373724878775964,2.5506760818204466,2.495720247890054
63,Dolmalık Biber,11.321641513825176,18.807076918306343,-19.394507840648746,-33.14647542888637,-23.40531866086939,23.848354023279093,-21.115767510074157,55.28090455926351,8.886237326120972,-17.49521666470776,3.066345373466861,46.0617496146666
64,Domates,-16.319763154224276,31.307436676346857,-6.542048731295235,-13.342633222421485,-7.20996072259612,8.962311754935515,-5.322766038278781,-4.307453260435324,15.465519113111693,8.669351197923515,-7.303475557140282,35.257549524735964
65,Dondurma,6.849049427819365,0.9923651860973104,0.1798074780844816,0.17507408241248523,-0.8588239961379696,-0.2066153799381132,0.5744423516188757,0.6822923953668347,0.4446585250742707,0.05756051834078235,0.05666912544863845,19.33725581745577
66,Doğalgaz Ücreti,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,23.57534043812908,0.8294654888456376,0.0,0.0,0.0,0.0,0.0
67,Ekmek,9.727849663533572,1.7079819829945109,2.0117247603790522,-0.19669612967347927,2.1269122853603717,3.919141346191357,2.0721735413231857,3.2949121918089075,6.8383306501060614,2.451196696446667,1.1381813255606943,1.953164292037246
68,Ekmek Hamuru (Yufka),7.565738347199558,5.1584119053105,1.1640992298491248,2.0784901980898773,1.7196208663295298,-0.2771515371149169,1.0790507003113126,4.862169287035201,-0.9238688364456404,2.1295194056397238,1.9816202203382094,2.8650877100072303
69,Ekmekarası Yiyecekler (Döner),-0.008223554685815593,7.272863791169981,0.9718256557949445,0.2852350519831237,0.8184584761541824,1.2017302749846026,7.001639982661545,9.237490810003756,2.018919592485413,1.7858347473984626,0.1373586579997088,5.063661243034567
70,Elbise (Kadın için),4.123121372344274,7.317102924333674,0.07143767921946598,-1.0774516386278021,0.07936979964295876,0.20245259940099292,-2.755008368293832,-0.12775880606525902,1.192559739369825,-1.2442015714286936,1.6657750022422313,1.4018106295669575
71,Elbise (Çocuk için),5.4957522665475045,6.036103625106737,-0.37352088941783324,-2.7201765852151283,-3.5529484959075375,-1.395292796701142,-4.243041752109167,1.2377588978870646,-2.815306795104755,-4.443258673754968,0.5394570257155396,2.088605640037011
72,Elektrik Ücreti,10.70000000000002,0.0,20.83333333333335,3.44827586206895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Elektrikli Kesici Aletler (Blender),5.624298351147394,1.9759979960449758,0.9348975374904978,1.6012031053177722,0.5708223011339442,0.2606254586147161,1.3144864021398694,1.741161617730369,1.2355540826370692,-0.12587431014777772,1.8129351064279486,1.3243195700989308
74,Elektrikli Küçük Ev Aletleri (Tost Makinası),6.257519870145312,1.496175768693786,1.5346887386683106,1.2455288109041174,0.1011423727547367,-0.3684162511419342,0.7530467498896298,0.666224739113308,1.6065525538151437,0.6131784534041618,-0.27278867177047417,2.6142015304824184
75,Elektrikli Saç Bakım Aletleri,7.430801438078838,2.9871090924155075,1.6972016657612832,2.194195918783004,0.1073494683467624,-1.2435408070161302,1.7686384960765134,1.8204504882292527,1.58158092624201,-0.7573601615826431,1.8375213914934685,2.60359344551766
76,Elektrikli Süpürge,1.954485656671956,2.731547038685922,-0.4418427659349855,0.294071448221378,0.4269923734586012,1.9456881892102151,2.68011917440083,1.14397394879997,1.0502570613233342,-1.2124571512074689,2.2726727589823303,1.467864913977246
77,Elma,1.1861593284221428,1.8626044599141967,7.648732358599597,21.813183861418285,8.564726254927635,3.6706164425804433,4.102587012440839,0.5348679674463286,-1.008712919355459,2.317368706842071,0.3433063374427947,6.277343951972803
