,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-02-10,106.0211587291986,105.56804531192455,104.97615786789339,106.19857425286237,105.42254350411432,104.26270837652417,104.71779157375296,110.15280995678471,104.37506425859056,95.18723331834909,99.93152912908097,104.20453131327683,107.58751093589748,110.52067022305629,106.89723199620462,103.22842267675927,103.45080061950718,103.34326378003765,101.91911951553475,106.79301268580885,101.6944318830794,106.88380240221733,105.48512413433502,105.0604681132936,115.83569676071707,100.00000000000009,114.61865307667378,105.25492990066138
2025-02-11,106.19259904546591,105.83208838296902,105.29127574860641,106.42742078836207,105.6874079017061,104.57186795592929,105.0307147405464,110.16092848367266,104.64524655240848,96.17347311624336,100.45124760149491,104.30407222462004,107.67729144500244,110.57212490236239,106.99603196540922,103.67405121615536,103.91256986327136,104.09806872514464,102.04626095569321,107.6462388151553,102.02871982997652,107.01551493872535,105.89359707137952,105.04218351723667,115.83569676071707,100.00000000000009,114.68534489946514,105.52291553829276
2025-02-12,106.33439523363947,106.05974611923313,105.55696003018087,106.61989642545035,105.98438284057455,104.89928674219843,105.28333867493896,110.13276664693889,105.13694416372292,98.57820015991186,101.48763546850009,104.10805036764106,107.77520609949153,110.58012338429674,107.11510716188593,103.82791909898671,104.08813102441016,104.39419027575973,102.08016004838215,107.99125912217414,102.03294477251858,107.39390913025505,106.05985671869398,105.65190630213726,116.66727954324688,100.00000000000009,115.07024946831571,105.80672861754354
2025-02-13,106.49428699609388,106.23551103225557,105.77456995246597,106.7843568175714,106.16680818343661,105.10213500440982,105.43487000482077,110.22633300508069,105.28597700192483,99.13261970935172,101.79717665429045,104.19703916283859,107.80819968226683,110.58012338429674,107.15586533331977,104.00021890965145,104.28021967225604,104.40776922428694,102.3290674747435,108.2546588132405,102.06873871538666,107.64343650646416,106.13884313629636,106.24036181777727,116.66727954324688,100.00000000000009,115.16715009710592,105.98256150292828
2025-02-14,106.50365365757666,106.2386029907044,105.74586926781743,106.78774087178105,106.15045429013811,105.10825641375128,105.4359852550474,110.23154887922975,105.28526583942146,98.71031684492417,101.6411616023645,104.28085915700528,107.91976522041008,110.58012338429674,107.29368629567843,104.00145485157596,104.28162613516535,104.4078816463296,102.33016307532803,108.25810499775054,102.06879838228372,107.57708317648061,106.13664753584304,106.30786958716662,116.66727954324688,100.00000000000009,114.65576791617298,105.96694555319198
2025-02-15,106.61649977945444,106.35731195724861,105.8838751703754,106.89231680307284,106.26500583178961,105.18803422110612,105.58852092772403,110.24749231648126,105.39363463524478,98.93208388684356,101.82629825932628,104.43300425501377,107.97263481272743,110.58312131980585,107.35829250064177,104.23331306881913,104.54709612737621,104.4078816463296,102.3481109596468,109.32916585616825,102.06879838228372,107.55567975102304,106.2494349044419,106.62650702879334,116.49599156132749,96.73102836366384,115.77318373629772,106.07634692804886
2025-02-16,106.62356039803575,106.36020172825421,105.8838751703754,106.8948091525328,106.27119520781696,105.19485352270631,105.59638128419157,110.24749231648126,105.41460788822648,98.75500643678802,101.85864694161694,104.65397488598617,107.98538421712432,110.58312131980585,107.3740423030693,104.23331306881913,104.54709612737621,104.4078816463296,102.3481109596468,109.32916585616825,102.06879838228372,107.55567975102304,106.2494349044419,106.62650702879334,116.49599156132749,96.73102836366384,115.77318373629772,106.08225803354016
2025-02-17,106.64874426099438,106.3636158938103,105.87460123592024,106.90446079508699,106.30809046834543,105.21191586260721,105.65532351906528,110.29626104414763,105.53808262874536,99.01123152602688,102.08831175176206,104.85971788874238,108.03208901515558,110.59348058034684,107.42930052647755,104.24433264888626,104.55567612303207,104.41224319459462,102.36222845095347,109.33059294334717,102.0966465199906,107.52407730812925,106.4815375374704,106.08977274691978,116.49599156132749,96.73102836366384,116.26616945417919,106.11874654099604
2025-02-18,106.82684367925907,106.70492834979432,106.28430543987209,107.20974810182817,106.67318446691819,105.55553036132902,106.08819933472472,110.37562385777439,105.93150492883638,100.14660970767159,102.87658409101354,105.3353655347067,108.14005510541226,110.63050942738386,107.55396072715939,104.82309016358315,105.20126331258753,106.09712871740842,102.37051795437372,110.20676108179123,102.21440459962228,107.63878118431987,106.83045203174888,105.47621347777934,119.05751880001657,96.73102836366384,116.77122742858359,106.47272046891348
2025-02-19,106.9973398511736,106.79546620679471,106.32811419667905,107.28516328125146,107.04540030467372,105.9704684558059,106.57130949804524,110.35620019994313,107.11396920752117,103.5570966128005,105.34889284912114,106.96269382968244,108.39002836255725,110.63050942738386,107.86276177304707,104.91398245550744,105.30291392263362,106.20886458371112,102.31037322294017,110.63850999252693,102.23108467089938,107.61025167721947,106.79531098917316,105.44565453088342,119.0395481257479,96.6992094476013,116.75735089968722,106.82895163747632
2025-02-20,107.16005300782851,107.14216669436269,106.6905862230141,107.58774496141834,107.30823208365544,106.22862161302741,106.88844713360972,110.38209963427856,107.27622942302628,103.26789398829706,105.3304635064707,107.18813942041253,108.68291780767419,110.88646117881359,108.16434399940661,105.44843204772424,105.89723319938408,107.98247258400653,102.59796459041094,110.6171203899956,102.35254570966372,107.68277055289359,106.91145112288088,104.66821798181172,119.0395481257479,96.6992094476013,118.53614961810624,107.08542747500572
2025-02-21,107.32076940594482,107.44207321541526,106.88908185859049,107.84504513591767,107.59038183441156,106.46665697367655,107.25158767670476,110.37220265759947,107.84328458289194,104.58910156896633,105.78844312048842,106.86864327530553,109.32882896048739,111.81095549068709,108.74469441418069,105.77061957935823,106.26762575922724,108.98434747969493,102.69434246363545,110.88908951780748,102.34220894249246,107.66628820321992,107.02759125658856,104.2588027575642,119.0395481257479,96.6992094476013,119.06344732437746,107.3544272119708
2025-02-22,107.38435724048924,107.50790487246422,107.10111330718422,107.89586671475183,107.67814208707547,106.5669721578166,107.2136921747656,110.32889154347968,107.738472512458,105.40908306955527,106.13757289919508,106.79369527381051,108.8958403498753,111.20019367197919,108.3535422977977,105.78759112919164,106.27679028286695,108.88538022978557,102.78384747588596,110.8446949257854,102.41303433304049,108.13202938505368,107.3767694736046,104.28906403895482,119.0395481257479,96.6992094476013,121.04453905324809,107.4414260836592
